" ","Vervoer (mln kg)","Industrie en afval (mln kg)","Energiesector (mln kg)","Particuliere huishoudens (mln kg)","Landbouw, bosbouw en visserij (mln kg)","Diensten, water en bouw (mln kg)"
"2005","8,5","4,3","1,6","8,4","0,6","0,6"
"2006","7,8","4,2","1,9","8,4","0,6","0,6"
"2007","7,0","4,2","1,3","8,1","0,6","0,6"
"2008","6,1","3,8","1,2","8,3","0,7","0,6"
"2009","5,0","3,9","0,6","8,2","0,7","0,6"
"2010","4,6","4,0","0,4","9,0","0,7","0,6"
"2011","4,3","4,2","0,3","7,7","0,7","0,5"
"2012","3,9","3,6","0,2","8,0","0,7","0,5"
"2013","3,5","3,6","0,3","8,1","0,7","0,5"
"2014","3,2","3,5","0,4","7,0","0,7","0,5"
"2015","3,1","3,5","0,5","7,3","0,7","0,6"
"2016","3,0","3,7","0,4","7,1","0,7","0,6"
"2017","2,9","3,9","0,3","6,7","0,7","0,6"
"2018","2,9","3,8","0,3","6,5","0,7","0,6"
"2019","2,7","3,7","0,3","6,1","0,7","0,6"
"2020","2,3","3,4","0,2","5,6","0,7","0,6"
"2021","2,3","3,6","0,2","5,7","0,7","0,7"
"2022","2,2","3,4","0,2","5,8","0,6","0,7"
"2023","2,2","3,0","0,2","5,8","0,6","0,9"
"2024","2,2","3,0","0,2","5,7","0,6","0,8"
"Bron: CBS, Emissieregistratie/RIVM"
