" ","Vervoer (mln kg)","Industrie en afval (mln kg)","Energiesector (mln kg)","Particuliere huishoudens (mln kg)","Landbouw, bosbouw en visserij (mln kg)","Diensten, water en bouw (mln kg)"
"2005","204,7","37,0","55,2","17,0","11,4","7,5"
"2006","202,9","35,4","52,0","14,2","12,2","7,3"
"2007","194,3","34,6","43,4","12,3","14,4","6,6"
"2008","184,8","34,8","38,1","13,3","17,3","6,8"
"2009","159,5","31,0","32,3","13,0","16,5","6,2"
"2010","157,6","33,1","32,6","14,5","18,5","7,1"
"2011","157,1","33,1","29,1","10,8","16,0","5,4"
"2012","147,8","31,4","28,3","10,9","14,5","5,7"
"2013","134,2","28,8","29,5","10,9","13,2","5,6"
"2014","120,2","28,1","26,8","8,0","10,2","4,4"
"2015","116,9","28,0","27,6","8,1","10,2","4,5"
"2016","113,0","28,2","23,4","7,8","8,6","4,3"
"2017","113,3","27,3","21,5","7,0","8,0","4,3"
"2018","114,6","26,7","20,7","6,7","7,2","3,8"
"2019","107,1","26,4","19,4","6,3","6,0","3,7"
"2020","85,2","25,1","17,0","6,0","4,9","3,2"
"2021","83,1","24,6","17,1","6,7","5,2","3,5"
"2022","79,3","22,9","16,3","5,7","3,8","3,0"
"2023","77,6","20,8","13,6","5,0","3,8","2,9"
"2024","78,1","20,9","13,3","5,0","3,8","2,6"
"Bron: CBS, Emissieregistratie/RIVM"
