;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
NL01482;24.0;-;-;-;-;-;-;-;-;-;-
NL01483;31.0;26.0 *;-;-;-;-;-;-;-;-;-
NL01485;19.0;19.0;20.0;22.0;19.0 *;17.0;18.0;18.0;16.0;16.0;17.0
NL01486;19.0;17.0 *;-;-;-;-;-;-;-;-;-
NL01487;23.0;23.0;23.0;24.0;21.0;22.0;20.0;18.0;17.0;17.0;19.0
NL01488;20.0;21.0;18.0;20.0;20.0;18.0;19.0;19.0;17.0;16.0;18.0
NL01489;19.0;18.0;21.0;22.0;20.0;21.0;20.0;19.0;17.0;16.0;18.0
NL01491;22.0;21.0;22.0;22.0;19.0;17.0;18.0;18.0;17.0;17.0;19.0
NL01493;22.0;21.0;21.0;24.0;22.0;20.0;20.0;19.0;18.0;16.0;18.0
NL01494;20.0;20.0;21.0 *;22.0;21.0;19.0;20.0;19.0;17.0;17.0;19.0
NL01495;18.0;16.0;20.0;21.0;21.0;16.0;18.0;19.0;15.0;15.0;16.0
NL01496;21.0;21.0;24.0;23.0;21.0;18.0;19.0;18.0;17.0;16.0;18.0
NL01497;-;-;-;-;-;-;-;21.0;15.0;14.0;16.0
NL01908;23.0;22.0;22.0;24.0;21.0;20.0;-;-;-;-;-
NL01912;-;-;-;-;21.0;19.0;19.0;17.0;16.0;15.0;17.0
NL01913;-;-;-;-;-;-;22.0;21.0;18.0;18.0;20.0
NL10131;19.0;19.0;19.0;21.0;18.0;18.0;17.0;19.0;16.0;15.0;17.0
NL10133;17.0;16.0;18.0;17.0;15.0;14.0;15.0;16.0;14.0;13.0;15.0
NL10136;21.0;19.0;19.0;20.0;18.0;17.0;17.0;19.0;16.0;14.0;16.0
NL10138;17.0;16.0;17.0;18.0;16.0;15.0;14.0;17.0;15.0;14.0;14.0
NL10230;20.0;19.0;20.0;21.0;19.0;18.0;17.0;18.0;16.0;15.0;17.0
NL10235;18.0;16.0;17.0;17.0;17.0;16.0;15.0;16.0;14.0;14.0;16.0
NL10236;18.0;18.0;19.0;20.0;19.0;16.0;17.0;18.0;16.0;15.0;16.0
NL10237;22.0;20.0;22.0;22.0;21.0;19.0;19.0;20.0;18.0;17.0;19.0
NL10240;21.0;21.0;22.0;21.0;20.0;18.0;18.0;19.0;18.0;16.0;19.0
NL10241;20.0;19.0;20.0;22.0;20.0;18.0;16.0;24.0 *;19.0;17.0;19.0
NL10243;18.0;13.0 *;-;-;-;-;-;-;-;-;-
NL10244;18.0;13.0 *;-;-;-;-;-;-;-;-;-
