" ","Stikstofoxiden (NOx) (mln kg)","Niet-methaan-vluchtige organische stoffen (NMVOS) (mln kg)","Ammoniak (NH3) (mln kg)","Zwaveldioxide (SO2) (mln kg)","Fijnstof (PM2,5) (mln kg)","Emissieplafond stikstofoxiden (mln kg)","Emissieplafond NMVOS (mln kg)","Emissieplafond ammoniak (mln kg)","Emissieplafond zwaveldioxide (mln kg)","Emissieplafond fijnstof (mln kg)"
"2005","396,6","202,2","155,2","67,8","28,4","","","","",""
"2006","384,4","197,0","158,0","68,1","27,6","","","","",""
"2007","362,6","196,3","154,2","64,2","25,7","","","","",""
"2008","349,9","189,2","141,6","53,3","24,1","","","","",""
"2009","310,6","178,8","137,4","39,6","21,8","","","","",""
"2010","313,1","191,4","134,4","36,1","22,0","","","","",""
"2011","300,3","186,0","131,8","35,0","20,2","","","","",""
"2012","282,8","180,3","127,7","35,4","19,0","","","","",""
"2013","266,5","177,5","124,4","31,1","18,9","","","","",""
"2014","242,5","169,2","128,0","30,9","17,6","","","","",""
"2015","236,3","166,4","129,4","31,0","17,6","","","","",""
"2016","224,5","159,2","130,8","28,8","17,2","","","","",""
"2017","217,1","161,6","133,2","27,2","16,7","","","","",""
"2018","215,3","158,4","131,7","25,2","16,3","","","","",""
"2019","203,4","156,6","125,3","22,9","15,5","","","","",""
"2020","175,0","165,2","124,6","19,6","14,2","218,1","186,0","135,0","48,8","17,9"
"2021","170,8","152,6","122,9","20,9","14,4","","","","",""
"2022","159,5","153,1","120,4","19,6","14,1","","","","",""
"2023","151,7","152,8","116,4","17,5","13,8","","","","",""
"2024","151,8","148,4","114,2","15,7","13,5","","","","",""
"2025","","","","","","","","","",""
"2026","","","","","","","","","",""
"2027","","","","","","","","","",""
"2028","","","","","","","","","",""
"2029","","","","","","","","","",""
"2030","","","","","","154,7","171,8","122,6","31,9","15,6"
"","","","","","","","","","",""
"Bron: CBS,  Emissieregistratie/RIVM"
